"Nama_Startup","Kategori_Layanan","Pendapatan_Tahunan_Miliar_IDR","Biaya_Akuisisi_Pelanggan_Juta_IDR","Nilai_Pelanggan_Juta_IDR","Tingkat_Churn_Persen"
"Startup_1","Keuangan",185,581,2006,10.22
"Startup_2","Proyek",289,341,1211,14.31
"Startup_3","SDM",362,48,1582,13.8
"Startup_4","Pemasaran",1033,502,1301,11.8
"Startup_5","CRM",259,846,NA,14.49
"Startup_6","Proyek",184,437,1008,15.01
"Startup_7","Keuangan",108,921,2011,15.69
"Startup_8","SDM",329,301,1048,14.06
"Startup_9","Pemasaran",2934,1193,4095,8.9
"Startup_10","CRM",525,47,1201,13.13
"Startup_11","Proyek",156,38,1384,15.25
"Startup_12","Keuangan",1201,621,251,11.45
"Startup_13","SDM",122,743,152,15.56
"Startup_14","Pemasaran",433,388,1011,13.55
"Startup_15","CRM",899,61,259,12.09
"Startup_16","Proyek",1543,951,NA,10.87
"Startup_17","Keuangan",621,498,1522,12.78
"Startup_18","SDM",101,256,601,15.76
"Startup_19","Pemasaran",743,433,1892,12.45
"Startup_20","CRM",1192,689,2014,11.49
"Startup_21","Proyek",233,311,743,14.7
"Startup_22","Keuangan",3498,125,4532,8.45
"Startup_23","SDM",199,532,1288,NA
"Startup_24","Pemasaran",111,621,1343,15.65
"Startup_25","CRM",487,455,1593,13.32
"Startup_26","Proyek",688,521,1832,12.59
"Startup_27","Keuangan",245,389,1099,14.61
"Startup_28","SDM",1432,789,3043,11.01
"Startup_29","Pemasaran",154,454,1021,15.26
"Startup_30","CRM",218,321,899,14.79
"Startup_31","Proyek",1987,912,3321,10.01
"Startup_32","Keuangan",333,411,1232,14.02
"Startup_33","SDM",587,532,1843,12.91
"Startup_34","Pemasaran",102,289,754,15.75
"Startup_35","CRM",187,343,987,15
"Startup_36","Proyek",2243,1021,4012,9.54
"Startup_37","Keuangan",456,487,1532,13.45
"Startup_38","SDM",276,398,1143,14.4
"Startup_39","Pemasaran",123,321,854,15.55
"Startup_40","CRM",789,576,2032,12.29
"Startup_41","Proyek",145,343,921,15.35
"Startup_42","Keuangan",1643,899,3512,10.65
"Startup_43","SDM",387,454,1487,13.76
"Startup_44","Pemasaran",198,365,1011,14.95
"Startup_45","CRM",299,412,1187,14.23
"Startup_46","Proyek",112,321,843,15.64
"Startup_47","Keuangan",10,287,789,15.78
"Startup_48","SDM",2543,1121,5012,9.21
"Startup_49","Pemasaran",345,432,1343,13.98
"Startup_50","CRM",187,354,1012,15
"Startup_51","Proyek",432,476,1543,13.56
"Startup_52","Keuangan",121,321,854,15.57
"Startup_53","SDM",188,354,1012,14.99
"Startup_54","Pemasaran",199,365,1011,14.94
"Startup_55","CRM",212,376,1043,14.85
"Startup_56","Proyek",143,343,921,15.36
"Startup_57","Keuangan",156,354,954,15.24
"Startup_58","SDM",176,365,1011,15.09
"Startup_59","Pemasaran",187,376,1043,14.98
"Startup_60","CRM",198,387,1076,14.87
"Startup_61","Proyek",209,398,1109,14.76
"Startup_62","Keuangan",221,409,1142,14.65
"Startup_63","SDM",232,42,1175,14.54
"Startup_64","Pemasaran",243,431,1208,14.43
"Startup_65","CRM",254,442,1241,14.32
"Startup_66","Proyek",265,453,1274,14.21
"Startup_67","Keuangan",276,464,1307,14.1
"Startup_68","SDM",287,475,134,13.99
"Startup_69","Pemasaran",298,486,1373,13.88
"Startup_70","CRM",309,497,1406,13.77
"Startup_71","Proyek",32,508,1439,13.66
"Startup_72","Keuangan",331,519,1472,13.55
"Startup_73","SDM",342,53,1505,13.44
"Startup_74","Pemasaran",353,541,1538,13.33
"Startup_75","CRM",364,552,1571,13.22
"Startup_76","Proyek",375,563,1604,13.11
"Startup_77","Keuangan",386,574,1637,13
"Startup_78","SDM",397,585,167,12.89
"Startup_79","Pemasaran",408,596,1703,12.78
"Startup_80","CRM",419,607,1736,12.67
"Startup_81","Proyek",43,618,1769,12.56
"Startup_82","Keuangan",441,629,1802,12.45
"Startup_83","SDM",452,64,1835,12.34
"Startup_84","Pemasaran",463,651,1868,12.23
"Startup_85","CRM",474,662,1901,12.12
"Startup_86","Proyek",485,673,1934,12.01
"Startup_87","Keuangan",496,684,1967,11.9
"Startup_88","SDM",507,695,200,11.79
"Startup_89","Pemasaran",518,706,2033,11.68
"Startup_90","CRM",529,717,2066,11.57
"Startup_91","Proyek",54,728,2099,11.46
"Startup_92","Keuangan",551,739,2132,11.35
"Startup_93","SDM",562,75,2165,11.24
"Startup_94","Pemasaran",573,761,2198,11.13
"Startup_95","CRM",584,772,2231,11.02
"Startup_96","Proyek",595,783,2264,10.91
"Startup_97","Keuangan",606,794,2297,10.8
"Startup_98","SDM",617,805,233,10.69
"Startup_99","Pemasaran",628,816,2363,10.58
"Startup_100","CRM",639,827,2396,10.47
"Startup_101","Proyek",65,838,2429,10.36
"Startup_102","Keuangan",661,849,2462,10.25
"Startup_103","SDM",672,86,2495,10.14
"Startup_104","Pemasaran",683,871,2528,10.03
"Startup_105","CRM",694,882,2561,9.92
"Startup_106","Proyek",705,893,2594,9.81
"Startup_107","Keuangan",716,904,2627,9.7
"Startup_108","SDM",727,915,266,9.59
"Startup_109","Pemasaran",738,926,2693,9.48
"Startup_110","CRM",749,937,2726,9.37
"Startup_111","Proyek",76,948,2759,9.26
"Startup_112","Keuangan",771,959,2792,9.15
"Startup_113","SDM",782,97,2825,9.04
"Startup_114","Pemasaran",793,981,2858,8.93
"Startup_115","CRM",804,992,2891,8.82
"Startup_116","Proyek",815,1003,2924,8.71
"Startup_117","Keuangan",826,1014,2957,8.6
"Startup_118","SDM",837,1025,299,8.49
"Startup_119","Pemasaran",848,1036,3023,8.38
"Startup_120","CRM",859,1047,3056,8.27
"Startup_121","Proyek",87,1058,3089,8.16
